i,dt_segment_s,dt_residual_s_per_s,cumulative_dt_s
202,-9.816778372562201e-08,-9.816778310673345e-09,-1.9830048264677223e-05
203,-9.816777612018335e-08,-9.816776913363327e-09,-1.9928216040797407e-05
204,-9.81677613287549e-08,-9.816775352387655e-09,-2.0026383802126163e-05
205,-9.816775396961845e-08,-9.816775441536036e-09,-2.012455155609578e-05
206,-9.816775640912667e-08,-9.816775840289298e-09,-2.022271931250491e-05
207,-9.81677627779978e-08,-9.816776715310264e-09,-2.0320887075282908e-05
208,-9.816776985765534e-08,-9.816777256220804e-09,-2.0419054845140564e-05
209,-9.816777129492877e-08,-9.816777002764952e-09,-2.0517222616435492e-05
210,-9.816776752209734e-08,-9.816776501654516e-09,-2.061539038395759e-05
211,-9.816776073978347e-08,-9.816775646302182e-09,-2.0713558144697374e-05
212,-9.816775420620951e-08,-9.816775194939722e-09,-2.0811725898903582e-05
213,-9.816775325578072e-08,-9.816775456216426e-09,-2.0909893652159362e-05
214,-9.816775752589774e-08,-9.816776048963124e-09,-2.100806140968526e-05
215,-9.816776429613045e-08,-9.816776810262965e-09,-2.1106229173981388e-05
216,-9.816780120808466e-08,-9.816783431353963e-09,-2.120439697518947e-05
217,-9.816789376482495e-08,-9.816795321611024e-09,-2.1302564868954295e-05
218,-9.816803963631928e-08,-9.81681260565283e-09,-2.1400732908590614e-05
219,-9.816818189383083e-08,-9.816823773113339e-09,-2.1498901090484445e-05
220,-9.816825360192811e-08,-9.816826947272286e-09,-2.1597069344086375e-05
221,-9.81682750360763e-08,-9.816828059942974e-09,-2.169523761912245e-05
222,-9.816829347129669e-08,-9.816830634316362e-09,-2.1793405912593745e-05
223,-9.8168352575028e-08,-9.816839880689238e-09,-2.1891574265168775e-05
224,-9.816847076616504e-08,-9.816854272543772e-09,-2.198974273593494e-05
225,-9.816860871824704e-08,-9.816867471105637e-09,-2.2087911344653186e-05
226,-9.816872231578339e-08,-9.816876992051042e-09,-2.218608006696897e-05
227,-9.816879457746808e-08,-9.816881923442575e-09,-2.2284248861546437e-05
228,-9.816847727555008e-08,-9.816813531667443e-09,-2.238241733882199e-05
229,-9.81674258103955e-08,-9.816671630411655e-09,-2.2480584764632385e-05
230,-9.816646691174497e-08,-9.816621751937339e-09,-2.257875123154413e-05
231,-9.81662623972945e-08,-9.816630727521559e-09,-2.2676917493941425e-05
232,-9.816636031702244e-08,-9.816641335882927e-09,-2.277508385425845e-05
233,-9.816657462844198e-08,-9.81667358980547e-09,-2.287325042888689e-05
234,-9.816666287765966e-08,-9.816658985726463e-09,-2.297141709176455e-05
235,-9.816670793103509e-08,-9.816682600480558e-09,-2.3069583799695583e-05
236,-9.816691876186913e-08,-9.816701151893269e-09,-2.316775071845745e-05
237,-9.816699624196667e-08,-9.816698096500066e-09,-2.3265917714699418e-05
238,-9.816711678736328e-08,-9.816725260972591e-09,-2.336408483148678e-05
239,-9.816725676244577e-08,-9.816726091516563e-09,-2.3462252088249228e-05
240,-9.816727939654627e-08,-9.816729787792691e-09,-2.3560419367645775e-05
241,-9.816747731119698e-08,-9.816765674446703e-09,-2.365858684495697e-05
242,-9.81675911078465e-08,-9.816752547122598e-09,-2.3756754436064816e-05
243,-9.816760583470926e-08,-9.816768619819253e-09,-2.3854922041899526e-05
244,-9.81677946363937e-08,-9.816790307459485e-09,-2.395308983653592e-05
245,-9.81678791256791e-08,-9.816785517676336e-09,-2.40512577156616e-05
246,-9.816797548395921e-08,-9.816809579115506e-09,-2.414942569114556e-05
247,-9.816815696152216e-08,-9.816821813188926e-09,-2.4247593848107082e-05
248,-9.816821391879134e-08,-9.816820970569344e-09,-2.4345762062025874e-05
249,-9.816836261268851e-08,-9.816851551968358e-09,-2.4443930424638562e-05
250,-9.816850676243634e-08,-9.81684980051891e-09,-2.4542098931400998e-05
251,-9.816849547320947e-08,-9.81684929412298e-09,-2.464026742687421e-05
252,-9.816867278094665e-08,-9.81688526206635e-09,-2.4738436099655156e-05
253,-9.81688177233729e-08,-9.81687828260823e-09,-2.483660491737853e-05
254,-9.816886045369863e-08,-9.816893808131497e-09,-2.4934773777832226e-05
255,-9.816908506645842e-08,-9.816923205160187e-09,-2.5032942862898685e-05
256,-9.816917029449895e-08,-9.816910853739603e-09,-2.5131112033193185e-05
257,-9.816920058880452e-08,-9.8169292640213e-09,-2.522928123378199e-05
258,-9.816939669643805e-08,-9.816950075266312e-09,-2.5327450630478428e-05
259,-9.81694691131128e-08,-9.816943747356247e-09,-2.542562009959154e-05
260,-9.816954381938494e-08,-9.81696501652074e-09,-2.5523789643410924e-05
261,-9.81697403503229e-08,-9.816983053543838e-09,-2.5621959383761247e-05
262,-9.816980709458511e-08,-9.816978365373183e-09,-2.5720129190855833e-05
263,-9.816987659081417e-08,-9.816996952789651e-09,-2.5818299067446645e-05
264,-9.817004187901755e-08,-9.817011423013857e-09,-2.5916469109325662e-05
265,-9.817010314070762e-08,-9.817009205127669e-09,-2.601463921246637e-05
266,-9.81702003418281e-08,-9.81703086323795e-09,-2.6112809412808198e-05
267,-9.817039994539411e-08,-9.81704912584087e-09,-2.621097981275359e-05
268,-9.817048069820077e-08,-9.817047013799285e-09,-2.6309150293451792e-05
269,-9.817055628099428e-08,-9.817064242399571e-09,-2.6407320849732785e-05
270,-9.817073015325004e-08,-9.81708178825044e-09,-2.6505491579886034e-05
271,-9.817080123353263e-08,-9.817078458456084e-09,-2.6603662381119568e-05
272,-9.817086367899915e-08,-9.817094277343748e-09,-2.6701833244798565e-05
273,-9.81710563412276e-08,-9.817116990901775e-09,-2.6800004301139795e-05
274,-9.817111419043104e-08,-9.817105847184432e-09,-2.6898175415330226e-05
275,-9.817110306854913e-08,-9.817114766525393e-09,-2.6996346518398777e-05
276,-9.817129081170677e-08,-9.817143395815962e-09,-2.7094517809210483e-05
277,-9.817137097349194e-08,-9.817130798882428e-09,-2.7192689180183974e-05
278,-9.817133987006314e-08,-9.8171371751302e-09,-2.7290860520054035e-05
279,-9.817135463969319e-08,-9.817133752808437e-09,-2.738903187469373e-05
280,-9.817100111042214e-08,-9.817066469275992e-09,-2.748720287580415e-05
281,-9.817038137795942e-08,-9.817009806315894e-09,-2.758537325718211e-05
282,-9.816982225977958e-08,-9.816954645640023e-09,-2.768354307944189e-05
283,-9.81695005444549e-08,-9.816945463250958e-09,-2.7781712579986344e-05
284,-9.816944210346505e-08,-9.816942957442048e-09,-2.7879882022089807e-05
285,-9.816951342377968e-08,-9.816959727313891e-09,-2.7978051535513587e-05
286,-9.816966315914097e-08,-9.816972904514301e-09,-2.8076221198672728e-05
287,-9.816974656034978e-08,-9.816976407555653e-09,-2.8174390945233077e-05
288,-9.8169855200048e-08,-9.816994632453943e-09,-2.8272560800433126e-05
289,-9.816996120192686e-08,-9.81699760793143e-09,-2.8370730761635053e-05
290,-9.817002448134658e-08,-9.817007288337885e-09,-2.84689007861164e-05
291,-9.81701711900069e-08,-9.817026949663499e-09,-2.8567070957306406e-05
292,-9.817028148166452e-08,-9.817029346669402e-09,-2.866524123878807e-05
293,-9.81703636388395e-08,-9.8170433810985e-09,-2.876341160242691e-05
294,-9.817048990329432e-08,-9.817054599560362e-09,-2.8861582092330205e-05
295,-9.817054803678703e-08,-9.817055007797043e-09,-2.8959752640366993e-05
296,-9.817062381900323e-08,-9.817069756003602e-09,-2.9057923264185996e-05
297,-9.817070753998088e-08,-9.817071751992574e-09,-2.9156093971725976e-05
298,-9.81706548375731e-08,-9.817059215522046e-09,-2.925426462656355e-05
299,-9.817056244148233e-08,-9.817053272774422e-09,-2.935243518900503e-05
300,-9.817057670124265e-08,-9.81706206747411e-09,-2.9450605765706274e-05
301,-9.817065380854451e-08,-9.817068694234793e-09,-2.9548776419514817e-05
302,-9.817074194133676e-08,-9.817079694032559e-09,-2.9646947161456153e-05
303,-9.81708236850202e-08,-9.817085042971477e-09,-2.9745117985141172e-05
304,-9.817088348729055e-08,-9.817091654486632e-09,-2.9843288868628462e-05
305,-9.817098095892493e-08,-9.817104537298354e-09,-2.9941459849587388e-05
306,-9.817110985932314e-08,-9.817117434566275e-09,-3.003963095944671e-05
307,-9.817119034979524e-08,-9.817120635392772e-09,-3.0137802149796506e-05
308,-9.817126210222564e-08,-9.817131785052355e-09,-3.023597341189873e-05
309,-9.817136849183238e-08,-9.817141913314119e-09,-3.0334144780390565e-05
310,-9.817139616900117e-08,-9.817137320486116e-09,-3.0432316176559566e-05
311,-9.817143212763073e-08,-9.817149105040032e-09,-3.05304876086872e-05
312,-9.81715347116991e-08,-9.817157837299786e-09,-3.06286591433989e-05
313,-9.817157639741733e-08,-9.817157442183682e-09,-3.0726830719796314e-05
314,-9.817165462572741e-08,-9.817173482961797e-09,-3.082500237442204e-05
315,-9.817161731557483e-08,-9.817149980153169e-09,-3.092317399173761e-05
316,-9.817149675652718e-08,-9.817149371152269e-09,-3.1021345488494137e-05
317,-9.8171533683144e-08,-9.81715736547653e-09,-3.111951702217728e-05
318,-9.817154380387521e-08,-9.817151395298515e-09,-3.121768856598115e-05
319,-9.81715659939033e-08,-9.817161803482144e-09,-3.131586013197506e-05
320,-9.817160105004996e-08,-9.817158406527848e-09,-3.141403173302511e-05
321,-9.817157040378912e-08,-9.817155674229977e-09,-3.15122033034289e-05
322,-9.817161805596779e-08,-9.81716793696358e-09,-3.161037492148487e-05
323,-9.817162574987634e-08,-9.817157213011687e-09,-3.1708546547234745e-05
324,-9.817164347867443e-08,-9.8171714827232e-09,-3.180671819071342e-05
325,-9.817169955263855e-08,-9.817168427804509e-09,-3.190488989026606e-05
326,-9.817167487925188e-08,-9.817166548045867e-09,-3.2003061565145314e-05
327,-9.817171053533124e-08,-9.817175559020381e-09,-3.210123327568064e-05
328,-9.817169821550431e-08,-9.817164084080481e-09,-3.219940497389615e-05
329,-9.817171410732808e-08,-9.817178737385136e-09,-3.2297576688003475e-05
